symptom1,symptom2,symptom3,medicine
Fever,Cough,Fatigue,Paracetamol
Headache,Nausea,Dizziness,Ibuprofen
Sore Throat,Runny Nose,Sneezing,Loratadine
Chest Pain,Shortness of Breath,Sweating,Aspirin
Abdominal Pain,Diarrhea,Vomiting,Loperamide
Rash,Itching,Swelling,Cetirizine
Joint Pain,Stiffness,Swelling,Naproxen
Back Pain,Muscle Spasms,Numbness,Cyclobenzaprine
Sore Throat,Fever,Swollen Glands,Amoxicillin
Fatigue,Weakness,Pale Skin,Ferrous Sulfate
Cough,Wheezing,Shortness of Breath,Albuterol
Blurred Vision,Headache,Nausea,Sumatriptan
Constipation,Bloating,Abdominal Pain,Docusate Sodium
Heartburn,Indigestion,Chest Pain,Omeprazole
Insomnia,Anxiety,Restlessness,Diazepam
High Blood Pressure,Headache,Dizziness,Lisinopril
Sinus Pain,Congestion,Headache,Pseudoephedrine
Urinary Pain,Frequent Urination,Blood in Urine,Ciprofloxacin
Ear Pain,Hearing Loss,Fever,Amoxicillin
Red Eyes,Itching,Discharge,Tobramycin
Muscle Pain,Weakness,Fever,Acetaminophen
Skin Infection,Redness,Swelling,Cephalexin
Allergic Reaction,Sneezing,Watery Eyes,Fexofenadine
Migraine,Light Sensitivity,Nausea,Rizatriptan
Menstrual Cramps,Lower Back Pain,Bloating,Mefenamic Acid
Stomach Ulcer,Burning Pain,Nausea,Ranitidine
Bronchitis,Persistent Cough,Mucus,Azithromycin
Kidney Infection,Fever,Lower Back Pain,Nitrofurantoin
Muscle Strain,Swelling,Limited Movement,Ibuprofen
